case_id,court,judge,case_type,year,complexity,legal_domain,outcome,plaintiff_win_probability,description,title,date
CASE_2016_0001,Supreme Court of India,Justice B. Nair,Partnership Dispute,2018.0,5.0,Arbitration,plaintiff_win,0.439,Partnership dissolution and profit-sharing dispute filed in 2018.,,
CASE_2016_0002,Rajasthan High Court,Justice S. Sharma,Commercial Fraud,2021.0,4.0,Contract Law,plaintiff_win,0.8,Commercial fraud and misrepresentation case filed in 2021.,,
CASE_2018_0003,Madras High Court,Justice D. Verma,Commercial Fraud,2015.0,3.0,Arbitration,plaintiff_win,0.728,Commercial fraud and misrepresentation case filed in 2015.,,
CASE_2023_0004,Gujarat High Court,Justice M. Singh,Shareholder Dispute,2024.0,6.0,Insolvency,defendant_win,0.731,Shareholder rights and corporate governance dispute filed in 2024.,,
CASE_2015_0005,Bombay High Court,Justice B. Nair,Insolvency Proceedings,2020.0,3.0,Insolvency,plaintiff_win,0.572,Corporate insolvency resolution process under IBC filed in 2020.,,
CASE_2020_0006,Delhi High Court,Justice S. Sharma,Insolvency Proceedings,2016.0,4.0,Competition Law,defendant_win,0.607,Corporate insolvency resolution process under IBC filed in 2016.,,
CASE_2024_0007,Calcutta High Court,Justice C. Joshi,Breach of Contract,2022.0,5.0,Intellectual Property,dismissed,0.389,Commercial contract dispute regarding non-performance of obligations filed in 2022.,,
CASE_2021_0008,Delhi High Court,Justice D. Verma,Partnership Dispute,2024.0,4.0,Competition Law,plaintiff_win,0.725,Partnership dissolution and profit-sharing dispute filed in 2024.,,
CASE_2016_0009,Supreme Court of India,Justice L. Desai,Patent Dispute,2019.0,6.0,Intellectual Property,defendant_win,0.657,Patent validity and infringement dispute in technology sector filed in 2019.,,
CASE_2016_0010,Gujarat High Court,Justice V. Reddy,Shareholder Dispute,2020.0,5.0,Corporate Law,plaintiff_win,0.476,Shareholder rights and corporate governance dispute filed in 2020.,,
CASE_2018_0011,Calcutta High Court,Justice B. Nair,Joint Venture Dispute,2016.0,5.0,Corporate Law,defendant_win,0.437,Joint venture agreement breach and profit distribution dispute filed in 2016.,,
CASE_2018_0012,Bombay High Court,Justice K. Rao,Insolvency Proceedings,2019.0,5.0,Arbitration,defendant_win,0.59,Corporate insolvency resolution process under IBC filed in 2019.,,
CASE_2015_0013,Madras High Court,Justice H. Kapoor,Breach of Contract,2020.0,5.0,Securities Law,plaintiff_win,0.662,Commercial contract dispute regarding non-performance of obligations filed in 2020.,,
CASE_2018_0014,Madhya Pradesh High Court,Justice B. Nair,Arbitration Matter,2018.0,4.0,Banking Law,plaintiff_win,0.498,Arbitration award enforcement and challenge proceedings filed in 2018.,,
CASE_2022_0015,Bombay High Court,Justice V. Reddy,Copyright Violation,2018.0,3.0,Insolvency,defendant_win,0.62,Copyright infringement matter concerning unauthorized reproduction filed in 2018.,,
CASE_2021_0016,Madhya Pradesh High Court,Justice N. Gupta,Arbitration Matter,2018.0,3.0,Corporate Law,plaintiff_win,0.645,Arbitration award enforcement and challenge proceedings filed in 2018.,,
