case_id,court,judge,case_type,year,complexity,legal_domain,outcome,plaintiff_win_probability,description
CASE_2016_0001,Supreme Court of India,Justice B. Nair,Partnership Dispute,2018,5,Arbitration,plaintiff_win,0.439,Partnership dissolution and profit-sharing dispute filed in 2018.
CASE_2016_0002,Rajasthan High Court,Justice S. Sharma,Commercial Fraud,2021,4,Contract Law,plaintiff_win,0.8,Commercial fraud and misrepresentation case filed in 2021.
CASE_2018_0003,Madras High Court,Justice D. Verma,Commercial Fraud,2015,3,Arbitration,plaintiff_win,0.728,Commercial fraud and misrepresentation case filed in 2015.
CASE_2023_0004,Gujarat High Court,Justice M. Singh,Shareholder Dispute,2024,6,Insolvency,defendant_win,0.731,Shareholder rights and corporate governance dispute filed in 2024.
CASE_2015_0005,Bombay High Court,Justice B. Nair,Insolvency Proceedings,2020,3,Insolvency,plaintiff_win,0.572,Corporate insolvency resolution process under IBC filed in 2020.
CASE_2020_0006,Delhi High Court,Justice S. Sharma,Insolvency Proceedings,2016,4,Competition Law,defendant_win,0.607,Corporate insolvency resolution process under IBC filed in 2016.
CASE_2024_0007,Calcutta High Court,Justice C. Joshi,Breach of Contract,2022,5,Intellectual Property,dismissed,0.389,Commercial contract dispute regarding non-performance of obligations filed in 2022.
CASE_2021_0008,Delhi High Court,Justice D. Verma,Partnership Dispute,2024,4,Competition Law,plaintiff_win,0.725,Partnership dissolution and profit-sharing dispute filed in 2024.
CASE_2016_0009,Supreme Court of India,Justice L. Desai,Patent Dispute,2019,6,Intellectual Property,defendant_win,0.657,Patent validity and infringement dispute in technology sector filed in 2019.
CASE_2016_0010,Gujarat High Court,Justice V. Reddy,Shareholder Dispute,2020,5,Corporate Law,plaintiff_win,0.476,Shareholder rights and corporate governance dispute filed in 2020.
CASE_2018_0011,Calcutta High Court,Justice B. Nair,Joint Venture Dispute,2016,5,Corporate Law,defendant_win,0.437,Joint venture agreement breach and profit distribution dispute filed in 2016.
CASE_2018_0012,Bombay High Court,Justice K. Rao,Insolvency Proceedings,2019,5,Arbitration,defendant_win,0.59,Corporate insolvency resolution process under IBC filed in 2019.
CASE_2015_0013,Madras High Court,Justice H. Kapoor,Breach of Contract,2020,5,Securities Law,plaintiff_win,0.662,Commercial contract dispute regarding non-performance of obligations filed in 2020.
CASE_2018_0014,Madhya Pradesh High Court,Justice B. Nair,Arbitration Matter,2018,4,Banking Law,plaintiff_win,0.498,Arbitration award enforcement and challenge proceedings filed in 2018.
CASE_2022_0015,Bombay High Court,Justice V. Reddy,Copyright Violation,2018,3,Insolvency,defendant_win,0.62,Copyright infringement matter concerning unauthorized reproduction filed in 2018.
CASE_2021_0016,Madhya Pradesh High Court,Justice N. Gupta,Arbitration Matter,2018,3,Corporate Law,plaintiff_win,0.645,Arbitration award enforcement and challenge proceedings filed in 2018.
CASE_2016_0017,Supreme Court of India,Justice H. Kapoor,Trademark Infringement,2017,6,Corporate Law,defendant_win,0.548,Trademark infringement case involving brand protection and market confusion filed in 2017.
CASE_2021_0018,Madhya Pradesh High Court,Justice S. Sharma,Insolvency Proceedings,2021,5,Banking Law,plaintiff_win,0.614,Corporate insolvency resolution process under IBC filed in 2021.
CASE_2023_0019,Supreme Court of India,Justice L. Desai,Licensing Agreement,2016,3,Insolvency,defendant_win,0.577,Technology licensing and royalty payment dispute filed in 2016.
CASE_2020_0020,Delhi High Court,Justice V. Reddy,Insolvency Proceedings,2017,6,Banking Law,plaintiff_win,0.569,Corporate insolvency resolution process under IBC filed in 2017.
CASE_2019_0021,Rajasthan High Court,Justice C. Joshi,Copyright Violation,2023,5,Intellectual Property,defendant_win,0.8,Copyright infringement matter concerning unauthorized reproduction filed in 2023.
CASE_2019_0022,Rajasthan High Court,Justice T. Iyer,Patent Dispute,2017,4,Competition Law,plaintiff_win,0.8,Patent validity and infringement dispute in technology sector filed in 2017.
CASE_2023_0023,Rajasthan High Court,Justice A. Kumar,Commercial Fraud,2020,8,Banking Law,plaintiff_win,0.702,Commercial fraud and misrepresentation case filed in 2020.
CASE_2020_0024,Calcutta High Court,Justice M. Singh,Breach of Contract,2018,7,Intellectual Property,plaintiff_win,0.768,Commercial contract dispute regarding non-performance of obligations filed in 2018.
CASE_2022_0025,Delhi High Court,Justice C. Joshi,Intellectual Property,2017,3,Corporate Law,defendant_win,0.479,Comprehensive IP rights protection and licensing dispute filed in 2017.
CASE_2023_0026,Bombay High Court,Justice V. Reddy,Intellectual Property,2024,4,Securities Law,dismissed,0.472,Comprehensive IP rights protection and licensing dispute filed in 2024.
CASE_2023_0027,Madras High Court,Justice B. Nair,Partnership Dispute,2021,7,Competition Law,defendant_win,0.415,Partnership dissolution and profit-sharing dispute filed in 2021.
CASE_2023_0028,Allahabad High Court,Justice S. Sharma,Patent Dispute,2018,5,Intellectual Property,plaintiff_win,0.642,Patent validity and infringement dispute in technology sector filed in 2018.
CASE_2024_0029,Rajasthan High Court,Justice M. Singh,Commercial Fraud,2018,4,Contract Law,plaintiff_win,0.8,Commercial fraud and misrepresentation case filed in 2018.
CASE_2015_0030,Madras High Court,Justice S. Sharma,Breach of Contract,2020,6,Intellectual Property,plaintiff_win,0.8,Commercial contract dispute regarding non-performance of obligations filed in 2020.
CASE_2019_0031,Allahabad High Court,Justice M. Singh,Intellectual Property,2017,6,Banking Law,plaintiff_win,0.559,Comprehensive IP rights protection and licensing dispute filed in 2017.
CASE_2022_0032,Gujarat High Court,Justice M. Singh,Trademark Infringement,2016,4,Securities Law,plaintiff_win,0.668,Trademark infringement case involving brand protection and market confusion filed in 2016.
CASE_2021_0033,Allahabad High Court,Justice H. Kapoor,Licensing Agreement,2015,7,Intellectual Property,plaintiff_win,0.349,Technology licensing and royalty payment dispute filed in 2015.
